Sno,Date,Open,High,Low,Close,Volume,SMA Open,SMA Close,RS,RSI
1,14-08-2020,2277,2281.300049,2233.100098,2242.149902,2270405,2117.9857,2113.428571,1.269126963,55.93018742
2,17-08-2020,2263,2270,2238.25,2253.399902,2625630,2122.414272,2108.599993,0.570993103,36.34599679
3,18-08-2020,2262.800049,2289,2248.300049,2269.75,3493374,2120.342843,2106.982125,0.935483466,48.33332253
4,19-08-2020,2276.350098,2284.600098,2252.5,2256.600098,2843005,2118.692854,2106.285697,0.793322275,44.23757438
5,20-08-2020,2257,2276.550049,2240.050049,2252.850098,2895164,2116.778582,2104.514282,0.750765676,42.8821336
6,21-08-2020,2260,2271,2241.050049,2248.600098,1975294,2114.3893,2104.421439,0.939379563,48.43711777
7,24-08-2020,2250.600098,2259.949951,2230,2248.100098,2167966,2114.392875,2104.342878,0.981736858,49.53921376
8,25-08-2020,2245,2250,2233.550049,2242.649902,1663419,2113.721453,2103.528599,0.818914081,45.02214203
9,26-08-2020,2242,2259.899902,2216.449951,2253.5,2618149,2111.578596,2098.853585,0.4132195,29.23958382
10,27-08-2020,2266,2287.350098,2241.75,2248.399902,3579393,2106.86431,2095.864293,0.45023442,31.04563056
11,28-08-2020,2268.399902,2279.949951,2235.100098,2238.550049,2941136,2103.150025,2093.407139,0.464934763,31.73757457
12,31-08-2020,2240,2276.199951,2228,2257.25,6018154,2102.10716,2090.453578,0.716166816,41.73060621
13,01-09-2020,2269,2278,2241.300049,2246.350098,3610908,2098.653582,2090.446429,0.838591691,45.61054502
14,02-09-2020,2247,2268.75,2241.649902,2265.149902,2084137,2098.367868,2089.867868,1.163983923,53.7889358
15,03-09-2020,2268,2324,2268,2299.5,4654146,2096.225011,2091.510725,2.083100114,67.56511424
16,04-09-2020,2275,2324.25,2262.949951,2288.800049,5231303,2096.582153,2094.803589,1.556169702,60.87896671
17,07-09-2020,2289,2343.5,2283.350098,2327.050049,4620401,2097.453578,2096.164307,1.90023782,65.52006897
18,08-09-2020,2335.949951,2390.449951,2327.050049,2348.199951,7453998,2098.357143,2101.196446,2.813858475,73.77983461
19,09-09-2020,2325,2359,2320,2327.649902,3866535,2103.996425,2108.00715,2.111437586,67.86051552
20,10-09-2020,2335,2348.5,2324.300049,2331.149902,2308813,2108.639282,2113.653564,2.309274225,69.78189379
21,11-09-2020,2330.949951,2383,2330.149902,2374.100098,4145424,2114.667847,2119.585693,3.014386911,75.08959594
22,14-09-2020,2384.100098,2505.75,2381.850098,2491.399902,7512131,2120.807129,2128.974993,5.356403509,84.26783324
23,15-09-2020,2491.399902,2538,2464.600098,2491.399902,7318770,2130.957136,2145.967843,5.16638379,83.78303988
38,16-09-2020,2488.949951,2507.600098,2477.300049,2503,3074003,2147.057129,2163.324986,5.896178798,85.49921588
39,17-09-2020,2480,2495.75,2450.600098,2460.949951,4828176,2162.810704,2182.214268,3.64133054,78.45445414
40,18-09-2020,2485,2500.399902,2436.399902,2449.899902,4183256,2179.953561,2196.764265,3.02257115,75.14027813
41,21-09-2020,2465,2504.899902,2452.149902,2465.300049,4598809,2195.382132,2211.303536,3.595728473,78.240664
42,22-09-2020,2485,2555,2458,2522.949951,7499613,2210.953561,2225.599976,4.056310011,80.22273164
43,23-09-2020,2510,2519.850098,2409,2467.449951,7502280,2226.453561,2241.560686,2.200928376,68.75906354
44,24-09-2020,2450,2450,2302.600098,2332.25,8424708,2243.239275,2254.321394,1.164365178,53.79707593
45,25-09-2020,2368,2440,2352.100098,2422.300049,8228267,2254.739275,2254.692819,1.360317627,57.63282075
46,28-09-2020,2440,2444,2366,2426.300049,4347166,2257.028564,2259.985683,1.29544191,56.43540377
47,29-09-2020,2434.850098,2511.050049,2426.300049,2488.399902,6995811,2265.24285,2267.032122,1.659351795,62.39685168
48,30-09-2020,2489,2505,2460,2492.300049,3917166,2272.375,2278.264265,1.660993087,62.42004517
49,01-10-2020,2510,2540,2492.300049,2523.449951,2610337,2283.664289,2286.707118,1.612591563,61.72382954
50,05-10-2020,2620,2728.100098,2603.050049,2705.800049,17412105,2292.657139,2288.996408,1.879409778,65.27066041
51,06-10-2020,2736,2736,2650.100098,2714.300049,9846367,2301.842861,2304.310704,1.914274414,65.68614146
52,07-10-2020,2742,2770,2703,2735.949951,9656101,2319.489293,2319.403564,1.955495915,66.16473077
53,08-10-2020,2800,2885,2800,2825.699951,19839329,2338.203578,2339.046422,2.807930608,73.73901725
54,09-10-2020,2810,2829.850098,2780,2812.949951,7739245,2360.703578,2365.889282,2.784468599,73.57621093
55,12-10-2020,2815.5,2854,2800.75,2830,4623203,2385.346436,2390.721418,2.79257822,73.63271258
56,13-10-2020,2845,2854.899902,2812.199951,2826.550049,4209878,2408.953578,2412.653564,2.467376713,71.15975324
57,14-10-2020,2842,2842,2787.550049,2809.600098,4395936,2432.88215,2438.303571,3.03237568,75.20072336
58,15-10-2020,2811,2827.75,2727,2740.600098,6629355,2460.88215,2472.400007,4.997557414,83.32654561
59,16-10-2020,2750.100098,2771.649902,2731.300049,2763.300049,5273773,2492.525007,2495.135725,4.338231299,81.26720361
60,19-10-2020,2774,2774,2706.600098,2711.550049,3331194,2514.675014,2519.207153,2.853477463,74.04941356
61,20-10-2020,2725,2759.899902,2717.949951,2739,3406273,2538.900007,2535.14645,2.628331758,72.43912446
62,21-10-2020,2739,2749,2663.050049,2675.399902,4570143,2555.75715,2552.767875,1.841838404,64.8115108
63,22-10-2020,2661,2686.649902,2638.100098,2671.149902,5262294,2572.114293,2563.621443,1.666065168,62.49153952
64,23-10-2020,2687.800049,2702,2670.100098,2686.800049,3499091,2575.042864,2561.146432,0.914317926,47.76207303
65,26-10-2020,2689.949951,2709.949951,2670.5,2688.199951,2672752,2571.600011,2559.182146,0.882299445,46.87349016
66,27-10-2020,2699.75,2718.149902,2624.100098,2630.149902,3537502,2567.88215,2555.771432,0.621872657,38.34287819
67,28-10-2020,2650,2655.949951,2606,2622.199951,3569445,2560.721436,2541.803571,0.292788879,22.64784946
68,29-10-2020,2608,2655,2600.25,2632.649902,3105968,2549.292864,2528.178571,0.344363458,25.61535395
69,30-10-2020,2636.100098,2674.350098,2621.600098,2664.850098,3427003,2534.471436,2514.082136,0.399454902,28.54360661
70,02-11-2020,2660,2664.850098,2600.050049,2604.600098,2571196,2519.550014,2502.532139,0.331073182,24.87265061
71,03-11-2020,2604,2665,2601.050049,2633.600098,2879269,2506.550014,2487.889282,0.441003827,30.60393168
72,04-11-2020,2610,2721.850098,2610,2653.149902,4893928,2491.7643,2480.246425,0.644294647,39.18364923
73,05-11-2020,2685,2710,2667,2685.699951,2816502,2481.75715,2472.378557,0.684360109,40.63027292
74,06-11-2020,2699,2713.25,2681.300049,2707.449951,3884421,2475.400007,2470.532122,0.978876373,49.4662722
75,09-11-2020,2731.100098,2744,2695.100098,2726.600098,3646592,2473.542864,2468.278547,0.936115942,48.3502006
76,10-11-2020,2697.199951,2713.149902,2638.350098,2649.600098,4760020,2472.978585,2471.935704,0.875663595,46.68553558
77,11-11-2020,2667.949951,2692.800049,2643.399902,2687.800049,3242441,2475.564296,2470.396432,1.081919543,51.96740414
78,12-11-2020,2686,2713,2661.75,2671.050049,2437505,2474.146432,2470.467861,0.928409091,48.14378315
79,13-11-2020,2655.75,2664.899902,2636,2656.850098,2548093,2473.864293,2469.242868,0.866140651,46.41347106
80,17-11-2020,2695,2695,2650.050049,2666.050049,2827273,2470.721436,2471.150025,1.203804524,54.62392472
81,18-11-2020,2661,2664.199951,2607.050049,2626.649902,2893762,2473.935721,2474.282174,1.021435207,50.53019772
82,19-11-2020,2637,2676.149902,2630.850098,2636.899902,4167501,2477.721436,2473.853603,1.020472052,50.50661557
83,20-11-2020,2655,2676,2627.550049,2660.25,2711471,2477.785714,2471.85716,0.977841542,49.43983233
84,23-11-2020,2690,2730,2665,2724.25,3706418,2477.428571,2475.832153,1.812011011,64.43826158
85,24-11-2020,2734.399902,2743,2705,2722.050049,3120516,2483.571429,2482.307146,1.591440468,61.41142302
86,25-11-2020,2729,2732.949951,2688.199951,2701.300049,3302249,2492.457136,2487.228585,1.28273713,56.19294105
87,26-11-2020,2686,2730.949951,2680,2720.600098,2341099,2495.599993,2488.342878,1.204933276,54.64715369
88,27-11-2020,2705,2717.699951,2669.050049,2679.649902,6086808,2494.671422,2489.282174,0.868402288,46.47833571
89,01-12-2020,2679,2735.899902,2624.449951,2726.800049,3605017,2492.807129,2485.928589,1.000946513,50.02365162
90,02-12-2020,2719,2754.699951,2702.449951,2749.550049,2509032,2491.507132,2491.442871,1.744504794,63.56355426
91,03-12-2020,2773.899902,2773.899902,2700.800049,2709.449951,2852548,2495.153564,2495.853585,1.124174703,52.92289289
92,04-12-2020,2710.800049,2738.850098,2699,2727.550049,2686527,2501.432129,2498.596436,1.358501758,57.6002012
93,07-12-2020,2715,2744,2706.149902,2737.699951,1996400,2505.364275,2503.646432,1.563804965,60.99547299
94,08-12-2020,2740,2805.550049,2732.449951,2797.300049,4277818,2506.792847,2508.764282,1.915269465,65.69785359
95,09-12-2020,2815,2840,2793.149902,2810.800049,3659996,2512.435704,2520.953578,2.77067032,73.4795165
96,10-12-2020,2818,2827.300049,2780.25,2784.300049,2127801,2525.14999,2533.375018,2.129500922,68.04602315
97,11-12-2020,2792.699951,2807.699951,2764.550049,2783.600098,1795408,2536.792847,2542.235735,1.940167026,65.98832681
98,14-12-2020,2802,2804,2756.25,2797.699951,2483658,2544.128557,2546.475028,1.559831107,60.93492273
99,15-12-2020,2786,2794.699951,2755,2761.550049,2365509,2548.957136,2551.878592,1.239176293,55.34072047
100,16-12-2020,2779,2819.800049,2760.449951,2814.199951,2565149,2553.028564,2556.182164,1.781854481,64.05275665
101,17-12-2020,2811,2853.699951,2805,2838.199951,2863460,2559.671422,2562.867868,1.814402585,64.46848062
102,18-12-2020,2868,2898,2846.199951,2861,6076692,2567.24285,2574.192871,2.753022561,73.35480979
103,21-12-2020,2861,2886.5,2785,2820.149902,2705195,2580.74285,2583.778582,1.646914908,62.22016821
104,22-12-2020,2834,2883.649902,2818.649902,2872.5,2881737,2590.885707,2588.821429,1.852043723,64.93742393
105,23-12-2020,2876.050049,2919,2865.449951,2908.75,2790988,2595.178571,2600.467861,2.912669316,74.44200061
106,24-12-2020,2909,2921.350098,2883.199951,2909.350098,1807144,2606.982143,2613.410714,2.74472298,73.29575498
107,28-12-2020,2910,2949.699951,2902,2929.399902,2108994,2620.839286,2625.671439,2.839731681,73.95651355
108,29-12-2020,2920,2952,2920,2930.5,1994151,2632.982143,2635.107143,2.278311072,69.49648834
109,30-12-2020,2934.399902,2947.699951,2902,2909.300049,2637968,2640.482143,2643.657139,1.785487057,64.09963574
110,31-12-2020,2900,2905,2845,2862.75,4040956,2648.796422,2652.585711,1.53936045,60.62000572
